listing_name,categories,seniority,required_skills
cybersecurity engineer,python,mid,"['python', 'javascript', 'postgresql']"
information security analyst (csirt),security,senior,"['python', 'bash', 'perl', 'powershell', 'siem', 'giac', 'oscp']"
devops engineer,devops,mid,"['javascript', 'python', 'dart']"
quality assurance engineer,python,mid,['python']
senior devops (service infrastructure),devops,senior,"['aws', 'kubernetes', 'python']"
devops engineer (service infrastructure),devops,mid,"['aws', 'kubernetes', 'python']"
devops engineer,devops,mid,"['kubernetes', 'python', 'docker', 'google cloud platform', 'linux']"
architecture engineer & team leader,architecture,senior,"['embedded systems', 'c++', 'cmake', 'unit testing', 'python', 'bash']"
lead analyst - power bi,analytics,mid,"['power bi', 'python']"
senior data scientist,data,senior,"['python', 'pyspark', 'pandas', 'jupyter', 'numpy', 'sql']"
ml developer researcher,python,mid,"['python', 'poetry', 'mlflow', 'dvc', 'gitlab', 'docker', 'mlops', 'mypy']"
lead ml developer researcher,python,senior,"['python', 'poetry', 'mlflow', 'dvc', 'gitlab', 'docker', 'mlops', 'mypy']"
sre engineer(rnd),devops,senior,"['ruby', 'python', 'java', 'datadog', 'elk', 'pmm', 'ansible', 'saltstack', 'kubernetes', 'ci/cd']"
senior web scraper,python,senior,"['webscraping', 'python', 'php', 'java', 'javascript', 'xpath', 'json']"
senior python engineer,python,senior,"['python', 'docker', 'kubernetes', 'unix', 'cloud', 'devops tools', 'networking', 'sdk']"
senior network engineer in security,security,senior,"['networks', 'network security', 'firewall', 'routers', 'linux', 'python', 'bash']"
cloud devops engineer,devops,mid,"['ci/cd', 'terraform', 'iam', 'bash', 'python', 'powershell', 'azure arm', 'ansible', 'puppet']"
python/fullstack developer,python,mid,"['python', 'english', 'mysql / postgresql', 'linux / unix', 'amazon aws', 'nginx', 'angular']"
devops engineer,devops,senior,"['python', 'cloud', 'kubernetes']"
devops engineer,devops,senior,"['docker', 'kubernetes', 'python', 'cloud']"
mid data scientist,python,mid,"['polish', 'python', 'english', 'docker', 'git', 'user stories', 'data visualization', 'microservices', 'aws', 'pytorch']"
staff network engineer,support,senior,"['networking', 'tcp', 'wan & lan', 'english', 'juniper', 'palo alto', 'python', 'ansible', 'meraki', 'f5']"
automation test engineer,testing,mid,"['python', 'rest', 'pytest', 'ci/cd', 'aws', 'ansible', 'terraform', 'jenkins', 'docker', 'kubernetes']"
cloud developer,devops,mid,"['python', 'docker', 'typescript', 'kubernetes', 'azure', 'javascript', 'html', 'css', 'mysql']"
data engineer,python,mid,"['python', 'sql', 'machine learning', 'azure', 'nosql']"
senior application support engineer,devops,senior,"['aws', 'ci/cd tools', 'linux', 'ansible', 'python', 'pulumi', 'terraform', 'typescript']"
senior automation tester,testing,senior,"['sql', 'data warehousing', 'python/powershell/bash', 'robot framework']"
python developer,python,mid,"['python', 'django', 'flask', 'fastapi']"
data engineer,data,mid,"['ms sql server', 'etl tools', 'python', 'azure factory', 'data lake']"
qa automation engineer with python,testing,senior,"['english', 'python', 'test automation', 'appium or pytest']"
qa manager for sd-wan project,testing,mid,"['python', 'qa']"
network operations center specialist,support,mid,"['linux', 'english', 'team player', 'communication skills', 'problem solving', 'sql', 'python', 'mysql', 'tcp', 'itil']"
senior software engineer (multicloud),devops,senior,"['kubernetes', 'python', 'golang', 'aws', 'google cloud', 'azure']"
senior security engineer,security,senior,"['cloud platform', 'security', 'analisys', 'git', 'powershell', 'bash', 'python', 'java', '.net', 'javascript']"
data engineer | cloud&engineering,data,mid,"['microsoft azure cloud', 'sql', 'c', 'scala/ python', 'oltp/olap', 'big data', 'english']"
software developer,python,junior,"['js', 'linux', 'github', 'python']"
devops engineer,devops,mid,"['golang', 'python', 'aws', 'ci/cd', 'iac', 'terraform', 'docker', 'datadog', 'kubernetes', 'shell scripting']"
python developer,python,mid,"['python 3.9', 'multiprocessing', 'postgresql', 'git', 'javascript (jquery)', 'django / fastapi / flask', 'genicam']"
python developer,python,mid,"['python', 'django', 'sql', 'nosql', 'git', 'celery', 'rabbitmq', 'jira', 'agile']"
test automation engineer,testing,mid,"['java / js / python / c#', 'test frameworks']"
software development engineer iii  data (forecast),data,senior,"['big data', 'hadoop', 'databases', 'design patterns', 'spark', 'pyspark', 'python', 'pandas']"
python developer,python,mid,"['python', 'django', 'unit tests', 'git', 'docker', 'html', 'css', 'js', 'youtrack/jira']"
python fullstack developer,python,senior,"['python', 'django', 'reactjs', 'rest api', 'ci/cd', 'postgresql']"
