listing_name,categories,seniority,required_skills
Senior Application Support Engineer,devops,senior,"['AWS', 'CI/CD tools', 'Linux', 'Ansible', 'Python', 'Pulumi', 'Terraform', 'TypeScript']"
Senior Automation Tester,testing,senior,"['SQL', 'Data Warehousing', 'Python/Powershell/Bash', 'Robot Framework']"
Python Developer,python,mid,"['Python', 'Django', 'Flask', 'fastapi']"
Data Engineer,data,mid,"['MS SQL Server', 'ETL tools', 'Python', 'Azure Factory', 'Data Lake']"
QA Automation Engineer with Python,testing,senior,"['English', 'Python', 'Test Automation', 'Appium or pytest']"
QA Manager for SD-WAN project,testing,mid,"['Python', 'QA']"
Software Engineer (Java),java,mid,"['Golang', 'Python', 'Node.js', 'JavaScript', 'Spring', 'EJB', 'Linux; Git', 'Gerrit', 'Java', 'React']"
Network Operations Center Specialist,support,mid,"['Linux', 'English', 'Team Player', 'Communication Skills', 'Problem Solving', 'SQL', 'Python', 'MySQL', 'TCP', 'ITIL']"
Java Developer,java,mid,"['Java', 'Oracle DB', 'MongoDB', 'Kafka', 'Docker', 'Ansible', 'Python', 'TypeScript']"
Senior Software Engineer (Multicloud),devops,senior,"['Kubernetes', 'Python', 'Golang', 'AWS', 'Google Cloud', 'Azure']"
Senior Security Engineer,security,senior,"['Cloud Platform', 'Security', 'analisys', 'Git', 'Powershell', 'Bash', 'Python', 'Java', '.Net', 'JavaScript']"
Software Engineering Intern /Summer 2023,javascript,junior,"['English', 'IT', 'Java', 'Python', 'JavaScript', 'HTML']"
